date,split_ratio,cash_dividend
2006-10-26,1.0,4.0
2007-10-24,1.0,2.5
2008-10-24,1.0,2.0
2009-10-23,1.0,1.0
2010-10-25,1.0,2.2
2011-10-26,1.0,1.95
2012-10-24,1.0,1.85
2013-10-24,1.0,1.35
2014-10-24,1.0,1.55
2015-10-26,1.0,2.0
2016-07-28,1.0,0.85
2017-02-08,1.0,1.7
2017-07-31,1.0,0.7
2018-01-29,1.0,2.2
2018-07-23,1.0,0.7
2019-01-22,1.0,2.3
2019-07-19,1.0,0.7
2020-01-31,1.0,2.9
2020-07-21,1.0,0.7
2021-01-22,1.0,3.05
2021-07-21,1.0,0.35
2022-01-21,1.0,3.2
2022-07-18,1.0,1.8
2023-01-30,1.0,2.6
2023-07-18,1.0,1.9
2024-01-17,1.0,3.0
2024-07-16,1.0,1.0
2025-01-17,1.0,2.7
2025-06-18,4.0,0.0
2025-07-21,1.0,0.36
2026-01-22,1.0,1.0
2026-07-21,1.0,0.6
