date,split_ratio,cash_dividend
2019-01-22,1.0,0.08
2019-04-23,1.0,0.15
2019-07-19,1.0,0.15
2019-10-23,1.0,0.08
2020-01-31,1.0,0.13
2020-04-23,1.0,0.02
2020-07-16,1.0,0.02
2020-10-21,1.0,0.02
2021-01-19,1.0,0.02
2021-04-20,1.0,0.02
2021-07-16,1.0,0.03
2021-10-19,1.0,0.03
2022-01-18,1.0,0.06
2022-04-20,1.0,0.17
2022-07-19,1.0,0.24
2022-10-19,1.0,0.33
2023-01-31,1.0,0.33
2023-04-21,1.0,0.32
2023-07-18,1.0,0.37
2023-10-19,1.0,0.41
2024-01-17,1.0,0.34
2024-04-18,1.0,0.37
2024-07-16,1.0,0.39
2024-10-17,1.0,0.35
2025-01-17,1.0,0.35
2025-04-23,1.0,0.35
2025-07-21,1.0,0.31
2025-10-23,1.0,0.29
2026-01-22,1.0,0.27
2026-04-23,1.0,0.27
2026-07-21,1.0,0.27
