ex_date,cash_dividend,authority,source_url
2020-07-16,0.02,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/美債1-3年-收益分配第二階段公告(評價日：109.06.30).pdf
2021-04-20,0.02,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/美債1-3年-收益分配第二階段公告.pdf
2021-07-16,0.03,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1100714-00719B第二階段公告.pdf
2021-10-19,0.03,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1101015-00719B第二階段公告.pdf
2022-01-18,0.06,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1110114-00719B第二階段公告.pdf
2022-04-20,0.17,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1110418-00719B第二階段公告.pdf
2022-07-19,0.24,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1110715-00719B第二階段公告.pdf
2022-10-19,0.33,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1111017-00719B第二階段公告.pdf
2023-01-31,0.33,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1120117-00719B第二階段公告.pdf
2023-07-18,0.37,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1120714-00719B第二階段公告.pdf
2023-10-19,0.41,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1121017-00719B第二階段公告.pdf
2024-01-17,0.34,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1130115-00719B第二階段公告.pdf
2024-04-18,0.37,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1130416-00719B第二階段公告.pdf
2024-07-16,0.39,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1130712-00719B第二階段公告.pdf
2024-10-17,0.35,SITCA,https://www.sitca.org.tw/FundNote/A/A0005/02/1131015-00719B第二階段公告.pdf
2026-04-23,0.27,MOPS,https://mopsov.twse.com.tw/nas/T108/A0000520260421F05.pdf
2026-07-21,0.27,MOPS,https://mopsov.twse.com.tw/nas/T108/A0000520260717F06.pdf
